Direction du gestionnaire du dossier,région,program,code_insee,portage,NOM PRE,contact,REP REP+,CITE EDUCATIVE,QPV
Vaucluse,PROVENCE-ALPES-COTE-D'AZUR,LE PONTET,84092,CCAS-LE PONTET,,a.dicristofano@mairie-lepontet.fr,,,
Morbihan,BRETAGNE,VANNES,56260,CCAS-VANNES,,gildas.nicolas@mairie-vannes.fr,,,
Réunion,OUTRE-MER,LE PORT,97407,CCAS-LE PORT,,christelle.parvedy@ville-port.re,,,
Moselle,GRAND EST,BEHREN LES FORBACH,57058,CCAS-BEHREN LES FORBACH,,grigeois.c@ville-behren.fr,,,
Moselle,GRAND EST,FAMECK,57206,CCAS-FAMECK,,smelis@ville-fameck.fr,,,
Moselle,GRAND EST,FAREBERSVILLER,57207,CCAS-FAREBERSVILLER,,k.burtaire@farebersviller.com,,,
Moselle,GRAND EST,FOLSCHVILLER,57224,CCAS-FOLSCHVILLER,,ouissenfarous.dre@gmail.com,,,
Moselle,GRAND EST,FORBACH,57227,CCAS-FORBACH,,a.demuro@ccas-forbach.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,LE PORTEL,62667,CCAS-LE PORTEL,,p.becard@ville-leportel.fr,,,
Moselle,GRAND EST,METZ,57463,CCAS-METZ,,ppiroth@mairie-metz.fr,,,
Moselle,GRAND EST,SARREGUEMINES,57631,CCAS-SARREGUEMINES,,bentouta.ahmed@mairie-sarreguemines.fr,,,
Moselle,GRAND EST,UCKANGE,57683,CCAS-UCKANGE,,uckange.ccas@wanadoo.fr,,,
Seine-Saint-Denis,ILE-DE-FRANCE,LE PRE ST GERVAIS,93061,CCAS-LE PRE ST GERVAIS,,alexandra.berniere@villedupre.fr,,,
Moselle,GRAND EST,YUTZ,57757,VILLE-YUTZ,,ccas@mairie-yutz.fr,,,
Nièvre,BOURGOGNE-FRANCHE-COMTE,NEVERS,58194,CCAS-NEVERS,,martine.pornet@ville-nevers.fr,,,
Nièvre,BOURGOGNE-FRANCHE-COMTE,NEVERS,58194,MUTUALITÉ FRANÇAISE BOURGUIGNONNE CENTRE DE SANTÉ POLYVALENT -NEVERS,,brigitte.burdiat@mfbssam.fr,,,
Nord,HAUTS-DE-FRANCE,ARMENTIERES,59017,CAISSE DES ECOLES-ARMENTIERES,,mlemang@ville-armentieres.fr,,,
Nord,HAUTS-DE-FRANCE,CAUDRY,59139,CAISSE DES ECOLES-CAUDRY,,sdron@cohesionsociale.caudry.fr,,,
Nord,HAUTS-DE-FRANCE,FOURMIES,59249,CAISSE DES ECOLES-FOURMIES,,psinet@mairie-fourmies.fr,,,
Nord,HAUTS-DE-FRANCE,LILLE,59350,CAISSE DES ECOLES-LILLE,,ctodoskoff@mairie-lille.fr,,,
Nord,HAUTS-DE-FRANCE,LOOS,59360,CAISSE DES ECOLES-LOOS,,caro_487@msn.com,,,
Martinique,OUTRE-MER,LE ROBERT,97222,CAISSE DES ECOLES-LE ROBERT,,c.barclais@ville-robert.fr,,,
Nord,HAUTS-DE-FRANCE,ROUBAIX,59512,CAISSE DES ECOLES-ROUBAIX,,cgouders@ville-roubaix.fr,,,
Nord,HAUTS-DE-FRANCE,WATTRELOS,59650,CAISSE DES ECOLES-WATTRELOS,,ferat.rekibi@ville-wattrelos.fr,,,
Nord,HAUTS-DE-FRANCE,WAZIERS,59654,CAISSE DES ECOLES-WAZIERS,,severine.leduc@mairie-waziers.fr,,,
Nord,HAUTS-DE-FRANCE,AUBY,59028,CCAS-AUBY,,f.hue@auby.fr,,,
Réunion,OUTRE-MER,LE TAMPON,97422,CAISSE DES ECOLES-LE TAMPON,,delphine.duplessis@mairie-tampon.fr,,,
Nord,HAUTS-DE-FRANCE,DENAIN,59172,CCAS-DENAIN,,h.megueddem@ccasdenain.fr,,,
Nord,HAUTS-DE-FRANCE,DOUAI,59178,CCAS-DOUAI,,ajacquens@ville-douai.fr,,,
Nord,HAUTS-DE-FRANCE,DOUCHY LES MINES,59179,CCAS-DOUCHY LES MINES,,coordination.pre@douchy-les-mines.fr,,,
Nord,HAUTS-DE-FRANCE,DUNKERQUE,59183,CCAS-DUNKERQUE,,angelina.lamie@ville-saintpolsurmer.fr,,,
Nord,HAUTS-DE-FRANCE,ESCAUDAIN,59205,CCAS-ESCAUDAIN,,cavallaro.o@ville-escaudain.fr,,,
Nord,HAUTS-DE-FRANCE,FACHES THUMESNIL,59220,CCAS-FACHES THUMESNIL,,hdenisot@ville-fachesthumesnil.fr,,,
Nord,HAUTS-DE-FRANCE,FEIGNIES,59225,CCAS-FEIGNIES,,g.paree@ville-feignies.fr,,,
Ardèche,AUVERGNE-RHONE-ALPES,LE TEIL,07319,VILLE-LE TEIL,,valerie.gervais@mairie-le-teil.fr,,,
Nord,HAUTS-DE-FRANCE,HAZEBROUCK,59295,CCAS-HAZEBROUCK,,vdelansay@ville-hazebrouck.fr,,,
Nord,HAUTS-DE-FRANCE,HEM,59299,CCAS-HEM,,sandrine.vallet@ville-hem.fr,,,
Nord,HAUTS-DE-FRANCE,JEUMONT,59324,CCAS-JEUMONT,,veronique.renaud@mairie-jeumont.fr,,,
Guadeloupe,OUTRE-MER,LES ABYMES,97101,CAISSE DES ECOLES-LES ABYMES,,previlledesabymes@gmail.com,,,
Nord,HAUTS-DE-FRANCE,LOURCHES,59361,CCAS-LOURCHES,,mairie@lourches.fr,,,
Nord,HAUTS-DE-FRANCE,MONS EN BAROEUL,59410,CCAS-MONS EN BAROEUL,,jtreu@ville-mons-en-baroeul.fr,,,
Nord,HAUTS-DE-FRANCE,RAISMES,59491,CCAS-RAISMES,,amalaboeuf@ville-raismes.fr,,,
Nord,HAUTS-DE-FRANCE,RONCHIN,59507,CCAS-RONCHIN,,swiart@ville-ronchin.fr,,,
Nord,HAUTS-DE-FRANCE,SIN LE NOBLE,59569,CCAS-SIN LE NOBLE,,zineb.bourouba@mairie-sinlenoble.fr,,,
Nord,HAUTS-DE-FRANCE,VILLENEUVE D ASCQ,59009,CCAS-VILLENEUVE D ASCQ,,bjoliet@villeneuvedascq.fr,,,
Nord,HAUTS-DE-FRANCE,WALLERS,59632,CCAS-WALLERS,,ccas@wallers-arenberg.fr,,,
Nord,HAUTS-DE-FRANCE,WATTIGNIES,59648,CCAS-WATTIGNIES,,jmontois@mairie-wattignies.com,,,
Yvelines,ILE-DE-FRANCE,LES MUREAUX,78440,CCAS-LES MUREAUX,,jmaillot@mairie-lesmureaux.fr,,,
Nord,HAUTS-DE-FRANCE,OSTRICOURT,59452,VILLE-OSTRICOURT,,s.gloria@ostricourt.fr,,,
Nord,HAUTS-DE-FRANCE,TOURCOING,59599,VILLE -TOURCOING,,nblanchard@ville-tourcoing.fr,,,
Oise,HAUTS-DE-FRANCE,BEAUVAIS,60057,CCAS-BEAUVAIS,,dboy-lahaye@beauvais.fr,,,
Oise,HAUTS-DE-FRANCE,CLERMONT,09097,CCAS-CLERMONT,,laurent.batteux@mairie-clermont.fr,,,
Oise,HAUTS-DE-FRANCE,COMPIEGNE,60159,CCAS-COMPIEGNE,,jedjiga.zerourou@mairie-compiegne.fr,,,
Oise,HAUTS-DE-FRANCE,CREIL,60175,CCAS-CREIL,,muriel.thierry@mairie-creil.fr,,,
Oise,HAUTS-DE-FRANCE,MERU,60395,CCAS-MERU,,cguyomar@ville-meru.fr,,,
Oise,HAUTS-DE-FRANCE,MONTATAIRE,60414,CCAS-MONTATAIRE,,mgueye@mairie-montataire.fr,,,
Oise,HAUTS-DE-FRANCE,NOGENT SUR OISE,60463,CCAS-NOGENT SUR OISE,,h.hassnaoui@nogentsuroise.fr,,,
Oise,HAUTS-DE-FRANCE,NOYON,60471,CCAS-NOYON,,reussite.educative@noyon.fr,,,
Essonne,ILE-DE-FRANCE,LES ULIS,91692,VILLE -LES ULIS,,cdaumain@lesulis.fr,,,
Oise,HAUTS-DE-FRANCE,VILLERS SAINT PAUL,60684,CCAS-VILLERS SAINT PAUL,,s.formiga@villers-saint-paul.fr,,,
Orne,NORMANDIE,ARGENTAN,61006,CCAS-ARGENTAN,,celian.chorin@argentan.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,LONGUENESSE CEDEX,62525,COMMUNAUTE D'AGGLOMERATION -LONGUENESSE CEDEX,,e.canu@ca-pso.fr,,,
Orne,NORMANDIE,FLERS,61169,COMMUNAUTE D'AGGLOMERATION -FLERS,,dvictor@flers-agglo.fr,,,
Jura,BOURGOGNE-FRANCHE-COMTE,LONS-LE-SAUNIER,39300,CCAS-LONS-LE-SAUNIER,,pbezire@lonslesaunier.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,BOULOGNE SUR MER,62160,CAISSE DES ECOLES-BOULOGNE SUR MER,,coordinationpre@ville-boulogne-sur-mer.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,CALAIS,62193,CAISSE DES ECOLES-CALAIS,,laura.suin@mairie-calais.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,WINGLES,62895,CAISSE DES ECOLES-WINGLES,,sandrine.richot@wingles.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,ACHICOURT,62004,CCAS-ACHICOURT,,n.hochedez@mairie-achicourt.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,AUCHEL,62048,CCAS-AUCHEL,,g.monchaux.cs@auchel.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,AVION,62065,CCAS-AVION,,pauline.gralak@ccas-ville-avion.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,BARLIN,62083,CCAS-BARLIN,,sberrahou.mairiebarlin@orange.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,BETHUNE,62119,CCAS-BETHUNE,,h.piwek@ville-bethune.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,BEUVRY,62126,CCAS-BEUVRY,,annecharlotte.blas@villedebeuvry.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,BRUAY LA BUISSIERE,62178,CCAS-BRUAY LA BUISSIERE,,l.penning@bruaylabuissiere.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,CALONNE RICOUART,62194,CCAS-CALONNE RICOUART,,c.vanderschooten@calonne-ricouart.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,CARVIN,62215,CCAS-CARVIN,,valentine.desmons@carvin.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,COURCELLES LES LENS,62249,CCAS-COURCELLES LES LENS,,c.luszczyk@courcelles-les-lens.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,COURRIERES,62250,CCAS-COURRIERES,,dandrea@courrieres.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,DIVION,62270,CCAS-DIVION,,jlemoine@ville-divion.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,ETAPLES,62318,CCAS-ETAPLES,,ccas.pre@etaples-sur-mer.net,,,
Pas-de-Calais,HAUTS-DE-FRANCE,EVIN MALMAISON,62321,CCAS-EVIN MALMAISON,,dgs.evinmalmaison@gmail.com,,,
Pas-de-Calais,HAUTS-DE-FRANCE,GRENAY,38184,CCAS-GRENAY,,reussite-educative@grenay.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,HENIN BEAUMONT,62427,CCAS-HENIN BEAUMONT,,orlane.duquenoy@mairie-heninbeaumont.fr,,,
Morbihan,BRETAGNE,LORIENT ,56121,CAISSE DES ECOLES-LORIENT ,,mdore@mairie-lorient.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,LENS,62498,CCAS-LENS,,dbeaussart@mairie-lens.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,LIBERCOURT,62907,CCAS-LIBERCOURT,,directionccas@libercourt.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,LIEVIN,62510,CCAS-LIEVIN,,pole.cohesion@lievin.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,LILLERS,62516,CCAS-LILLERS,,j.lecat@mairielillers.com,,,
Pas-de-Calais,HAUTS-DE-FRANCE,MARLES LES MINES,62555,CCAS-MARLES LES MINES,,florence.guy@ville-marleslesmines.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,MAZINGARBE,62563,CCAS-MAZINGARBE,,fabien.george@ville-mazingarbe.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,MONTIGNY EN GOHELLE,62587,CCAS-MONTIGNY EN GOHELLE,,anais.morvillez@mairie-montigny.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,ROUVROY,02659,CCAS-ROUVROY,,mmillecamps@ville-rouvroy62.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,SAINS EN GOHELLE,62737,CCAS-SAINS EN GOHELLE,,denischarline2013@gmail.com,,,
Eure,NORMANDIE,LOUVIERS CEDEX,27375,CAISSE DES ECOLES-LOUVIERS CEDEX,,sophie.thomas@ville-louviers.fr,,,
Eure-et-Loir,CENTRE-VAL-DE-LOIRE,LUCE CEDEX,28218,GIP CONTRAT VIL PROGRAMME REUSSITE...-LUCE CEDEX,,mc.vorimore@ville-luce.fr,,,
Puy-de-Dôme,AUVERGNE-RHONE-ALPES,CLERMONT FERRAND,63113,CAISSE DES ECOLES-CLERMONT FERRAND,,rboumallassa@ville-clermont-ferrand.fr,,,
Puy-de-Dôme,AUVERGNE-RHONE-ALPES,THIERS,63430,COMMUNAUTE D'AGGLOMERATION -THIERS,,shosmalin@cctdm.fr,,,
Pyrénées-Atlantiques,NOUVELLE AQUITAINE,BAYONNE,64102,GIP DSU AGGLOMERATION-BAYONNE,,contact@gipdsu-bayonnepaysbasque.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,LYON CEDEX 01,69381,CAISSE DES ECOLES-LYON CEDEX 01,,aude.robin@mairie-lyon.fr,,,
Hautes-Pyrénées,OCCITANIE,TARBES,65440,CAISSE DES ECOLES-TARBES,,coord.pre@mairie-tarbes.fr,,,
Pyrénées-Orientales,OCCITANIE,PERPIGNAN,66136,CAISSE DES ECOLES-PERPIGNAN,,baklouch.nadia@mairie-perpignan.com,,,
Bas-Rhin,GRAND EST,SCHILTIGHEIM,67447,CAISSE DES ECOLES-SCHILTIGHEIM,,isabelle.dinca@ville-schiltigheim.fr,,,
Bas-Rhin,GRAND EST,STRASBOURG,67482,CAISSE DES ECOLES-STRASBOURG,,amelie.reiminger@strasbourg.eu,,,
Guyane,OUTRE-MER,MACOURIA TONATE,97305,CCAS-MACOURIA TONATE,,alsainteluce@villedemacouria.fr,,,
Bas-Rhin,GRAND EST,HAGUENAU,67180,COMMUNAUTE AGGLOMERATION-HAGUENAU,,olga.wisniewska@agglo-haguenau.fr,,,
Haut-Rhin,GRAND EST,COLMAR,68066,CCAS-COLMAR,,veronique.broggi@colmar.fr,,,
Haut-Rhin,GRAND EST,MULHOUSE,68224,REGIE PRE-MULHOUSE,,samira.elyadari@mulhouse.fr,,,
Yvelines,ILE-DE-FRANCE,MANTES-LA-JOLIE,78361,CCAS-MANTES-LA-JOLIE,,clehoux@manteslajolie.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,VENISSIEUX,69259,CAISSE DES ECOLES-VENISSIEUX,,syilma@ville-venissieux.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,VILLEURBANNE,69266,CAISSE DES ECOLES-VILLEURBANNE,,mathilde.guerin9@mairie-villeurbanne.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,BELLEVILLE,54060,CCAS-BELLEVILLE,,s.lanfranchi@belleville-en-beaujolais.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,BRON,69029,CCAS-BRON,,elisabeth.miro@ville-bron.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,DECINES CHARPIEU,69275,CCAS-DECINES CHARPIEU,,m.grieb@mairie-decines.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,GIVORS,69091,CCAS-GIVORS,,charlene.foujols@ville-givors.fr,,,
Bouches-du-Rhône,PROVENCE-ALPES-COTE-D'AZUR,MARSEILLE ,13055,METROPOLE D'AIX-MARSEILLE-PROVENCE-MARSEILLE ,,lisa.scagnolari@ampmetropole.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,NEUVILLE SUR SAONE,69143,CCAS-NEUVILLE SUR SAONE,,a.lebaron@mairie-neuvillesursaone.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,PIERRE BENITE,69152,CCAS-PIERRE BENITE,,fpont@pierrebenite.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,RILLIEUX LA PAPE,69286,CCAS-RILLIEUX LA PAPE,,marieline.rivera@rillieuxlapape.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,SAINT GENIS LAVAL,69204,CCAS-SAINT GENIS LAVAL,,fsahli@saintgenislaval.fr,,,
Nord,HAUTS-DE-FRANCE,MAUBEUGE CEDEX,59392,CAISSE DES ECOLES-MAUBEUGE CEDEX,,narimene.azzoug@ville-maubeuge.fr,,,
Seine-et-Marne,ILE-DE-FRANCE,MEAUX CEDEX,77284,CCAS-MEAUX CEDEX,,jerome.surville@meaux.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,TARARE,69243,CCAS-TARARE,,mlhansen@ville-tarare.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,MEYZIEU CEDEX,69282,CCAS-MEYZIEU CEDEX,,aurelie.chastang@meyzieu.fr,,,
Rhône,AUVERGNE-RHONE-ALPES,VILLEFRANCHE SUR SAONE,69264,CIAS-VILLEFRANCHE SUR SAONE,,p.spee.cias@orange.fr,,,
Saône-et-Loire,BOURGOGNE-FRANCHE-COMTE,MONTCEAU LES MINES,71306,ASSOCIATION HUMANITY-MONTCEAU LES MINES,,coordorepmonceau@ac-dijon.fr,,,
Seine-et-Marne,ILE-DE-FRANCE,MOISSY CRAMAYEL CEDEX,77296,CCAS-MOISSY CRAMAYEL CEDEX,,a.gallien@ville-moissycramayel.fr,,,
Meurthe-et-Moselle,GRAND EST,MONT ST MARTIN,54382,CCAS-MONT ST MARTIN,,nkerrou@mairie-montsaintmartin.fr,,,
Saône-et-Loire,BOURGOGNE-FRANCHE-COMTE,MACON,71270,CCAS-MACON,,ccas@ville-macon.fr,,,
Landes,NOUVELLE AQUITAINE,MONT-DE-MARSAN,40192,CIAS-MONT-DE-MARSAN,,beatrice.alaux@montdemasan-agglo.fr,,,
Saône-et-Loire,BOURGOGNE-FRANCHE-COMTE,TORCY,62823,CCAS-TORCY,,politique.ville@torcy71.fr,,,
Saône-et-Loire,BOURGOGNE-FRANCHE-COMTE,AUTUN,71014,CIAS-AUTUN,,annette.perrault@autun.com,,,
Saône-et-Loire,BOURGOGNE-FRANCHE-COMTE,MONTCEAU-LES-MINES,71306,CCAS-MONTCEAU-LES-MINES,,ccolas@montceaulesmines.fr,,,
Savoie,AUVERGNE-RHONE-ALPES,AIX LES BAINS,73008,CCAS-AIX LES BAINS,,lbesson.pre@orange.fr,,,
Savoie,AUVERGNE-RHONE-ALPES,CHAMBERY,73065,COLLEGE COTE ROUSSE-CHAMBERY,,coordination@dired-chambery.info,,,
Haute-Savoie,AUVERGNE-RHONE-ALPES,ANNEMASSE,74012,CCAS-ANNEMASSE,,marie.jermann@annemasse.fr,,,
Haute-Savoie,AUVERGNE-RHONE-ALPES,CLUSES,66063,CCAS-CLUSES,,mbouillin@cluses.fr,,,
Haute-Savoie,AUVERGNE-RHONE-ALPES,GAILLARD,74133,CCAS-GAILLARD,,pre@gaillard.fr,,,
Seine-Saint-Denis,ILE-DE-FRANCE,MONTREUIL CEDEX,93048,CAISSE DES ECOLES-MONTREUIL CEDEX,,marion.witz@montreuil.fr,,,
Haute-Savoie,AUVERGNE-RHONE-ALPES,THONON LES BAINS,74281,CCAS-THONON LES BAINS,,v-debacker@ville-thonon.fr,,,
Haute-Savoie,AUVERGNE-RHONE-ALPES,SAINT JULIEN EN GENEVOIS,74243,VILLE-SAINT JULIEN EN GENEVOIS,,amaryllis.besnard@st-julien-en-genevois.fr,,,
Paris,ILE-DE-FRANCE,PARIS,75056,GIP RE-PARIS,,claire.houpline@paris.fr,,,
Meurthe-et-Moselle,GRAND EST,NANCY CEDEX,54395,CAISSE DES ECOLES-NANCY CEDEX,,gulmay.atasoy@mairie-nancy.fr,,,
Seine-Maritime,NORMANDIE,SOTTEVILLE LES ROUEN,76681,CAISSE DES ECOLES-SOTTEVILLE LES ROUEN,,a.montier.education@mairie-sotteville-les-rouen.fr,,,
Seine-Maritime,NORMANDIE,CANTELEU,76157,CCAS-CANTELEU,,cgetdc@ville-canteleu.fr,,,
Seine-Maritime,NORMANDIE,DARNETAL,76212,CCAS-DARNETAL,,presante@mairie-darnetal.fr,,,
Alpes-Maritimes,PROVENCE-ALPES-COTE-D'AZUR,NICE ,06088,CAISSE DES ECOLES-NICE ,,tania.somaini@nicecotedazur.org,,,
Seine-Maritime,NORMANDIE,ELBEUF,76231,CCAS-ELBEUF,,aurelie.carcaly@mairie-elbeuf.fr,,,
Seine-Maritime,NORMANDIE,FECAMP,76259,CCAS-FECAMP,,damien.crochemore@ville-fecamp.fr,,,
Seine-Maritime,NORMANDIE,MAROMME,76410,CCAS-MAROMME,,corinne.mignot@ville-maromme.fr,,,
Gard,OCCITANIE,NIMES ,30189,CAISSE DES ECOLES-NIMES ,,frederic.pallesi@ville-nimes.fr,,,
Eure-et-Loir,CENTRE-VAL-DE-LOIRE,NOGENT-LE-ROTROU,28278,CAISSE DES ECOLES-NOGENT-LE-ROTROU,,reussiteeducative@ville-nogent-le-rotrou.fr,,,
Seine-Maritime,NORMANDIE,NOTRE-DAME-DE-BONDEVILLE,76474,CCAS-NOTRE-DAME-DE-BONDEVILLE,,graziello.bilongo@ville-nd-bondeville.fr,,,
Seine-Saint-Denis,ILE-DE-FRANCE,PANTIN CEDEX,93055,CAISSE DES ECOLES-PANTIN CEDEX,,j.paulicape@ville-pantin.fr,,,
Pyrénées-Atlantiques,NOUVELLE AQUITAINE,PAU AGGLOMERATION,64445,GIP DSU -PAU AGGLOMERATION,,l.fauthoux@agglo-pau.fr,,,
Gironde,NOUVELLE AQUITAINE,PESSAC CEDEX,33318,CCAS-PESSAC CEDEX,,n.ouba@mairie-pessac.fr,,,
Seine-et-Marne,ILE-DE-FRANCE,MONTEREAU FAULT YONNE,77305,CCAS-MONTEREAU FAULT YONNE,,i.pestoury@ville-montereau77.fr,,,
Seine-et-Marne,ILE-DE-FRANCE,NEMOURS,77333,CCAS-NEMOURS,,carole.escartin@ville-nemours.fr,,,
Seine-et-Marne,ILE-DE-FRANCE,DAMMARIE LES LYS,77152,COMMUNAUTE D'AGGLOMERATION -DAMMARIE LES LYS,,marc.imbert@camvs.com,,,
Drôme,AUVERGNE-RHONE-ALPES,PIERRELATTE CEDEX,26235,CCAS-PIERRELATTE CEDEX,,l.martin@ville-pierrelatte.fr,,,
Yvelines,ILE-DE-FRANCE,CHANTELOUP LES VIGNES,78138,CCAS-CHANTELOUP LES VIGNES,,ccas@chanteloup-les-vignes.fr,,,
Yvelines,ILE-DE-FRANCE,ELANCOURT,78208,CCAS-ELANCOURT,,stephanie.berranger@ville-elancourt.fr,,,
Yvelines,ILE-DE-FRANCE,GUYANCOURT,78297,CCAS-GUYANCOURT,,estelle.lory@ville-guyancourt.fr,,,
Yvelines,ILE-DE-FRANCE,POISSY CEDEX,78498,CCAS-POISSY CEDEX,,aotavalo@ville-poissy.fr,,,
Yvelines,ILE-DE-FRANCE,LIMAY,78335,CCAS-LIMAY,,s.hicette@ville-limay.fr,,,
Vienne,NOUVELLE AQUITAINE,POITIERS CEDEX,86194,CAISSE DES ECOLES-POITIERS CEDEX,,nicole.joiny@poitiers.fr,,,
Yvelines,ILE-DE-FRANCE,MAUREPAS,78383,CCAS-MAUREPAS,,mission.politiqueville@maurepas.fr,,,
Yvelines,ILE-DE-FRANCE,PLAISIR,78490,CCAS-PLAISIR,,montet-an@ville-plaisir.fr,,,
Gard,OCCITANIE,PONT ST ESPRIT,30202,CCAS-PONT ST ESPRIT,,c.vidal@pontsaintesprit.fr,,,
Yvelines,ILE-DE-FRANCE,SARTROUVILLE,78586,CCAS-SARTROUVILLE,,ccas@ville-sartrouville.fr,,,
Yvelines,ILE-DE-FRANCE,TRAPPES,78621,CCAS-TRAPPES,,Samy.Mamlouk@mairie-trappes.fr,,,
Yvelines,ILE-DE-FRANCE,VERNOUILLET,28404,CCAS-VERNOUILLET,,referent.famille@mairie-vernouillet.fr,,,
Yvelines,ILE-DE-FRANCE,MANTES LA VILLE,78362,VILLE-MANTES LA VILLE,,ltahar@manteslaville.fr,,,
Oise,HAUTS-DE-FRANCE,PONT STE MAXENCE,60509,CCAS-PONT STE MAXENCE,,marjorie.lebas@pontsaintemaxence.fr,,,
Bouches-du-Rhône,PROVENCE-ALPES-COTE-D'AZUR,PORT DE BOUC CEDEX,13077,CAISSE DES ECOLES-PORT DE BOUC CEDEX,,farid.roguiai@portdebouc.fr,,,
Deux-Sèvres,NOUVELLE AQUITAINE,NIORT,79191,CCAS-NIORT,,celine.masmontet@mairie-niort.fr,,,
Somme,HAUTS-DE-FRANCE,AMIENS,80021,CAISSE DES ECOLES-AMIENS,,c.goudeau@amiens-metropole.com,,,
Somme,HAUTS-DE-FRANCE,ABBEVILLE,80001,COMMUNAUTE D'AGGLOMERATION -ABBEVILLE,,elodie.colasse@ca-baiedesomme.fr,,,
Tarn,OCCITANIE,CASTRES,02142,CAISSE DES ECOLES-CASTRES,,f.carayol@ville-castres.fr,,,
Tarn,OCCITANIE,ALBI,81004,CCAS-ALBI,,philippe.abelard@mairie-albi.fr,,,
Tarn,OCCITANIE,AUSSILLON,81021,CCAS-AUSSILLON,,coordinationpre@ville-aussillon.fr,,,
Tarn,OCCITANIE,GAILLAC,81099,CCAS-GAILLAC,,estelle.garcia@gaillac-graulhet.fr,,,
Tarn,OCCITANIE,CARMAUX,81060,CIAS-CARMAUX,,b.chauzy-cias@3c-s.fr,,,
Ille-et-Vilaine,BRETAGNE,RENNES CEDEX,35238,CAISSE DES ECOLES-RENNES CEDEX,,d.commelin@ville-rennes.fr,,,
Tarn-et-Garonne,OCCITANIE,MONTAUBAN,82121,COMMUNAUTE D'AGGLOMERATION -MONTAUBAN,,mdeshaies@ville-montauban.fr,,,
Tarn-et-Garonne,OCCITANIE,MOISSAC,82112,VILLE-MOISSAC,,pre@moissac.fr,,,
Var,PROVENCE-ALPES-COTE-D'AZUR,HYERES,83069,CAISSE DES ECOLES-HYERES,,schaves@mairie-hyeres.com,,,
Loire-Atlantique,PAYS DE LA LOIRE,REZE CEDEX,44143,CCAS-REZE CEDEX,,actionsociale@mairie-reze.fr,,,
Var,PROVENCE-ALPES-COTE-D'AZUR,TOULON,83137,CAISSE DES ECOLES-TOULON,,ssolivellas@mairie-toulon.fr,,,
Var,PROVENCE-ALPES-COTE-D'AZUR,BRIGNOLES,83023,CCAS-BRIGNOLES,,zoubiric@brignoles.fr,,,
Var,PROVENCE-ALPES-COTE-D'AZUR,DRAGUIGNAN,83050,CCAS-DRAGUIGNAN,,ccas.nathalie.nicolas@ville-draguignan.fr,,,
Var,PROVENCE-ALPES-COTE-D'AZUR,FREJUS,83061,CCAS-FREJUS,,jp.pangole@ville-frejus.fr,,,
Essonne,ILE-DE-FRANCE,RIS-ORANGIS,91521,CCAS-RIS-ORANGIS,,c.rot-germond@ville-ris-orangis.fr,,,
Loire,AUVERGNE-RHONE-ALPES,ROANNE CEDEX,42187,CCAS-ROANNE CEDEX,,ctroncy@ville-roanne.fr,,,
Vaucluse,PROVENCE-ALPES-COTE-D'AZUR,APT,84003,CCAS-APT,,laurine.armingeat@apt.fr,,,
Vaucluse,PROVENCE-ALPES-COTE-D'AZUR,AVIGNON,84007,CCAS-AVIGNON,,jeanlouis_milazzo@ccasavignon.org,,,
